cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
0,data/standardized/c_post-operative.csv,Baseline,87,8,3,0.6296296296296297,0.38636363636363635,2.384185791015625e-07,0.10885119438171387,8,0
0,data/standardized/c_post-operative.csv,Tree Based Filter,87,8,3,0.48148148148148145,0.4441176470588235,0.10341286659240723,0.10736274719238281,4,0
0,data/standardized/c_post-operative.csv,Tree Based Weighting,87,8,3,0.48148148148148145,0.4441176470588235,0.10341286659240723,0.10899829864501953,4,0
0,data/standardized/c_post-operative.csv,L1 Filter,87,8,3,0.6296296296296297,0.38636363636363635,0.0028870105743408203,0.10698819160461426,8,0
0,data/standardized/c_post-operative.csv,ReliefF,87,8,3,0.6296296296296297,0.38636363636363635,0.004911899566650391,0.10725593566894531,6,0
0,data/standardized/c_post-operative.csv,ReliefF Weighting,87,8,3,0.5925925925925926,0.4427767354596623,0.004911899566650391,0.10985255241394043,6,0
0,data/standardized/c_post-operative.csv,Forward Selection,87,8,3,0.6666666666666666,0.39999999999999997,2.551952838897705,0.10740423202514648,2,0
0,data/standardized/c_post-operative.csv,Backwards Selection,87,8,3,0.6296296296296297,0.38636363636363635,1.5966758728027344,0.10742568969726562,7,0
0,data/standardized/c_post-operative.csv,Stepwise Selection,87,8,3,0.6666666666666666,0.39999999999999997,2.5527865886688232,0.10745763778686523,4,0
0,data/standardized/c_post-operative.csv,Bayesian Selection,87,8,3,0.6666666666666666,0.39999999999999997,41.7282497882843,0.10760092735290527,4,10
0,data/standardized/c_post-operative.csv,Bayesian Weighting,87,8,3,0.6666666666666666,0.39999999999999997,108.74740958213806,0.11068987846374512,8,58
0,data/standardized/c_votes.csv,Baseline,435,16,2,0.9312977099236641,0.9234266415535494,2.384185791015625e-07,0.10993671417236328,16,0
0,data/standardized/c_votes.csv,Tree Based Filter,435,16,2,0.9389312977099237,0.9322997416020672,0.1092519760131836,0.10957145690917969,8,0
